anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algoritmi distribuiti e reti complesse,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=ADRC,ADRC,INF/01,9,1,Clementi, Guala',
1,Analisi di reti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=AR,AR,INF/01,6,2,Di Ianni,
1,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=CP2,CP2,MAT/06,6,1,Calzolari,
1,Elementi di economia nel progetto di sistemi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=EEPS,EEPS,INF/01,6,2,Marinelli,
1,Inferenza statistica e teoria dell'informazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=ISTI,ISTI,MAT/06,6,2,Dimitri, Macci,
1,Sistemi distribuiti cooperativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=SDC,SDC,INF/01,9,1,Arcieri,
1,Sistemi distribuiti di programmazione e simulazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=SDPS,SDPS,ING-INF/05,9,1,Iazeolla, D'Ambrogio,
1,Teoria della sicurezza e crittografia,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=TSC,TSC,INF/01,6,2,Talamo,
2,Information retrieval,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=IR,IR,INF/01,9,2,Amati,
2,Intelligenza artificiale 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=IA2,IA2,ING-INF/05,9,1,Pazienza,
2,Machine learning,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=ML,ML,INF/01,9,1,Gambosi,
2,Metodi di verifica di sistemi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=MVS,MVS,INF/01,6,2,Intrigila,
2,Modelli e qualità del SW,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=MQS,MQS,INF/01,9,1,Iazeolla, D'Ambrogio,
2,Natural language processing,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=NLP,NLP,ING-INF/05,6,2,Zanzotto,
2,Organizzazione dei sistemi informativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=OSI,OSI,INF/01,6,2,Draoli,
2,Sicurezza dei sistemi informativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=SSI,SSI,INF/01,9,2,Dimitri,
2,Sistemi cooperativi e reti sociali,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=SCRS,SCRS,INF/01,6,1,Talamo,
2,Sistemi di agenti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=SA,SA,INF/01,6,2,Schunck,
2,Web mining and Retrieval,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2013&cdl=1&id=WMR,WMR,ING-INF/05,9,2,Basili,
